time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-09-09 23:30:00,2022-09-09,2022-09-09 23:30:00,1005.9,0,28.9,0,20.92,0,4.1,0,145.0,0,62.0,0,-2.3516634,0,3.3585231,0,,0.0,0,29.67,-95.06,7.4
2022-09-09 23:30:01,2022-09-09,2022-09-09 23:30:01,1005.47,0,28.78,0,20.17,0,3.2,0,141.0,0,59.6,0,-2.0138257,0,2.486867,0,,4.0,0,29.670027,-95.06002,11.2
2022-09-09 23:30:02,2022-09-09,2022-09-09 23:30:02,1004.88,0,28.73,0,20.01,0,3.0,0,138.0,0,59.2,0,-2.007392,0,2.2294345,0,,5.2,0,29.670048,-95.06004,16.4
2022-09-09 23:30:03,2022-09-09,2022-09-09 23:30:03,1004.45,0,28.73,0,19.92,0,3.1,0,138.0,0,58.85,0,-2.0743048,0,2.3037488,0,,3.9,0,29.670069,-95.06007,20.3
2022-09-09 23:30:04,2022-09-09,2022-09-09 23:30:04,1003.76,0,28.71,0,19.85,0,3.3,0,138.0,0,58.67,0,-2.208131,0,2.4523778,0,,6.1,0,29.67009,-95.06009,26.4
2022-09-09 23:30:05,2022-09-09,2022-09-09 23:30:05,1003.33,0,28.67,0,19.79,0,3.5,0,139.0,0,58.57,0,-2.2962065,0,2.6414838,0,,3.8,0,29.670113,-95.06011,30.2
2022-09-09 23:30:06,2022-09-09,2022-09-09 23:30:06,1002.78,0,28.6,0,19.72,0,3.7,0,139.0,0,58.56,0,-2.4274182,0,2.7924256,0,,4.9,0,29.670137,-95.060135,35.1
2022-09-09 23:30:07,2022-09-09,2022-09-09 23:30:07,1002.04,0,28.53,0,19.69,0,3.9,0,139.0,0,58.69,0,-2.55863,0,2.9433677,0,,6.5,0,29.670164,-95.06016,41.6
2022-09-09 23:30:08,2022-09-09,2022-09-09 23:30:08,1001.45,0,28.48,0,19.68,0,4.1,0,140.0,0,58.82,0,-2.6354291,0,3.140782,0,,5.3,0,29.67019,-95.06019,46.9
2022-09-09 23:30:09,2022-09-09,2022-09-09 23:30:09,1000.85,0,28.45,0,19.65,0,4.3,0,140.0,0,58.8,0,-2.7639868,0,3.2939913,0,,5.3,0,29.67022,-95.06022,52.2
2022-09-09 23:30:10,2022-09-09,2022-09-09 23:30:10,1000.25,0,28.4,0,19.61,0,4.4,0,140.0,0,58.85,0,-2.8282657,0,3.3705957,0,,5.4,0,29.67025,-95.06025,57.6
2022-09-09 23:30:11,2022-09-09,2022-09-09 23:30:11,999.64,0,28.35,0,19.61,0,4.5,0,140.0,0,59.03,0,-2.8925443,0,3.4472,0,,5.4,0,29.67028,-95.06028,63.0
2022-09-09 23:30:12,2022-09-09,2022-09-09 23:30:12,999.04,0,28.28,0,19.59,0,4.7,0,141.0,0,59.18,0,-2.957806,0,3.6525855,0,,5.3,0,29.670313,-95.06031,68.3
2022-09-09 23:30:13,2022-09-09,2022-09-09 23:30:13,998.45,0,28.18,0,19.57,0,4.8,0,141.0,0,59.45,0,-3.0207384,0,3.7303004,0,,5.3,0,29.670345,-95.06034,73.6
2022-09-09 23:30:14,2022-09-09,2022-09-09 23:30:14,997.88,0,28.11,0,19.57,0,4.9,0,142.0,0,59.71,0,-3.0167413,0,3.8612528,0,,5.1,0,29.67038,-95.06037,78.7
2022-09-09 23:30:15,2022-09-09,2022-09-09 23:30:15,997.31,0,28.07,0,19.54,0,5.0,0,142.0,0,59.74,0,-3.0783072,0,3.940054,0,,5.0,0,29.670414,-95.0604,83.8
2022-09-09 23:30:16,2022-09-09,2022-09-09 23:30:16,996.75,0,28.01,0,19.48,0,5.0,0,142.0,0,59.73,0,-3.0783072,0,3.940054,0,,5.0,0,29.67045,-95.06043,88.7
2022-09-09 23:30:17,2022-09-09,2022-09-09 23:30:17,996.2,0,27.96,0,19.42,0,5.1,0,143.0,0,59.67,0,-3.0692568,0,4.073041,0,,5.0,0,29.670486,-95.06046,93.7
2022-09-09 23:30:18,2022-09-09,2022-09-09 23:30:18,995.63,0,27.94,0,19.35,0,5.1,0,144.0,0,59.47,0,-2.9977045,0,4.1259866,0,,5.0,0,29.670523,-95.06049,98.7
2022-09-09 23:30:19,2022-09-09,2022-09-09 23:30:19,995.05,0,27.91,0,19.34,0,5.2,0,144.0,0,59.54,0,-3.0564828,0,4.206888,0,,5.2,0,29.67056,-95.060524,103.9
2022-09-09 23:30:20,2022-09-09,2022-09-09 23:30:20,994.46,0,27.87,0,19.4,0,5.2,0,145.0,0,59.94,0,-2.9825976,0,4.2595906,0,,5.3,0,29.670599,-95.060555,109.2
2022-09-09 23:30:21,2022-09-09,2022-09-09 23:30:21,993.85,0,27.81,0,19.46,0,5.2,0,145.0,0,60.33,0,-2.9825976,0,4.2595906,0,,5.4,0,29.670637,-95.060585,114.6
2022-09-09 23:30:22,2022-09-09,2022-09-09 23:30:22,993.24,0,27.73,0,19.48,0,5.3,0,146.0,0,60.73,0,-2.963723,0,4.393899,0,,5.5,0,29.670675,-95.060616,120.1
2022-09-09 23:30:23,2022-09-09,2022-09-09 23:30:23,992.63,0,27.65,0,19.49,0,5.3,0,147.0,0,61.01,0,-2.886587,0,4.4449544,0,,5.5,0,29.670715,-95.060646,125.6
2022-09-09 23:30:24,2022-09-09,2022-09-09 23:30:24,992.02,0,27.6,0,19.47,0,5.3,0,148.0,0,61.13,0,-2.8085725,0,4.4946547,0,,5.4,0,29.670755,-95.06068,131.0
2022-09-09 23:30:25,2022-09-09,2022-09-09 23:30:25,991.43,0,27.56,0,19.45,0,5.3,0,148.0,0,61.22,0,-2.8085725,0,4.4946547,0,,5.3,0,29.670795,-95.06071,136.3
2022-09-09 23:30:26,2022-09-09,2022-09-09 23:30:26,990.84,0,27.5,0,19.45,0,5.3,0,149.0,0,61.4,0,-2.7297018,0,4.542987,0,,5.3,0,29.670835,-95.06074,141.6
2022-09-09 23:30:27,2022-09-09,2022-09-09 23:30:27,990.25,0,27.45,0,19.44,0,5.3,0,150.0,0,61.57,0,-2.6500003,0,4.589935,0,,5.2,0,29.670877,-95.06077,146.9
2022-09-09 23:30:28,2022-09-09,2022-09-09 23:30:28,989.67,0,27.4,0,19.44,0,5.3,0,151.0,0,61.72,0,-2.5694907,0,4.6354847,0,,5.2,0,29.67092,-95.0608,152.1
2022-09-09 23:30:29,2022-09-09,2022-09-09 23:30:29,989.09,0,27.36,0,19.43,0,5.3,0,151.0,0,61.85,0,-2.5694907,0,4.6354847,0,,5.2,0,29.670961,-95.06082,157.3
