time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-09-22 17:30:00,2022-09-22,2022-09-22 17:30:00,1014.7,0,33.2,0,20.76,0,3.7,0,7.0,0,48.0,0,-0.4509166,0,-3.6724207,0,,0.0,0,29.67,-95.06,7.4
2022-09-22 17:30:01,2022-09-22,2022-09-22 17:30:01,1013.48,0,32.42,0,19.84,0,2.8,0,14.0,0,47.37,0,-0.6773813,0,-2.7168279,0,,7.8,8,29.669971,-95.060005,18.3
2022-09-22 17:30:02,2022-09-22,2022-09-22 17:30:02,1012.74,0,32.22,0,19.7,0,2.8,0,14.0,0,47.53,0,-0.6773813,0,-2.7168279,0,,6.5,0,29.669947,-95.06001,24.8
2022-09-22 17:30:03,2022-09-22,2022-09-22 17:30:03,1012.18,0,32.11,0,19.56,0,2.9,0,14.0,0,47.37,0,-0.70157355,0,-2.8138578,0,,5.0,0,29.669922,-95.06002,29.8
2022-09-22 17:30:04,2022-09-22,2022-09-22 17:30:04,1011.84,0,32.01,0,19.39,0,3.0,0,13.0,0,47.17,0,-0.67485315,0,-2.9231102,0,,3.0,0,29.669895,-95.06003,32.9
2022-09-22 17:30:05,2022-09-22,2022-09-22 17:30:05,1011.34,0,31.93,0,19.33,0,3.2,0,13.0,0,47.2,0,-0.7198434,0,-3.1179843,0,,4.4,0,29.669868,-95.060036,37.3
2022-09-22 17:30:06,2022-09-22,2022-09-22 17:30:06,1010.52,0,31.9,0,19.35,0,3.3,0,12.0,0,47.35,0,-0.6861086,0,-3.227887,0,,7.3,0,29.66984,-95.06004,44.6
2022-09-22 17:30:07,2022-09-22,2022-09-22 17:30:07,1009.93,0,31.87,0,19.34,0,3.4,0,12.0,0,47.37,0,-0.70689976,0,-3.325702,0,,5.2,0,29.669811,-95.06005,49.8
2022-09-22 17:30:08,2022-09-22,2022-09-22 17:30:08,1009.35,0,31.7,0,19.2,0,3.4,0,11.0,0,47.45,0,-0.6487506,0,-3.3375325,0,,5.2,0,29.66978,-95.06006,55.1
2022-09-22 17:30:09,2022-09-22,2022-09-22 17:30:09,1008.77,0,31.58,0,19.17,0,3.5,0,11.0,0,47.64,0,-0.6678315,0,-3.4356952,0,,5.2,0,29.66975,-95.06007,60.2
2022-09-22 17:30:10,2022-09-22,2022-09-22 17:30:10,1008.19,0,31.56,0,19.21,0,3.5,0,10.0,0,47.83,0,-0.6077686,0,-3.4468272,0,,5.2,0,29.66972,-95.060074,65.4
2022-09-22 17:30:11,2022-09-22,2022-09-22 17:30:11,1007.6,0,31.51,0,19.17,0,3.5,0,10.0,0,47.87,0,-0.6077686,0,-3.4468272,0,,5.2,0,29.66969,-95.06008,70.6
2022-09-22 17:30:12,2022-09-22,2022-09-22 17:30:12,1007.0,0,31.47,0,19.13,0,3.5,0,9.0,0,47.84,0,-0.54752064,0,-3.4569092,0,,5.4,0,29.669659,-95.06009,76.0
2022-09-22 17:30:13,2022-09-22,2022-09-22 17:30:13,1006.38,0,31.49,0,19.21,0,3.5,0,9.0,0,48.03,0,-0.54752064,0,-3.4569092,0,,5.6,0,29.669628,-95.0601,81.5
2022-09-22 17:30:14,2022-09-22,2022-09-22 17:30:14,1005.73,0,31.42,0,19.21,0,3.5,0,8.0,0,48.22,0,-0.48710585,0,-3.4659383,0,,5.8,0,29.669598,-95.060104,87.3
2022-09-22 17:30:15,2022-09-22,2022-09-22 17:30:15,1005.06,0,31.3,0,19.13,0,3.4,0,8.0,0,48.29,0,-0.47318855,0,-3.3669114,0,,6.0,0,29.669567,-95.06011,93.3
2022-09-22 17:30:16,2022-09-22,2022-09-22 17:30:16,1004.37,0,31.23,0,19.11,0,3.4,0,7.0,0,48.45,0,-0.41435578,0,-3.374657,0,,6.2,0,29.669537,-95.06012,99.5
2022-09-22 17:30:17,2022-09-22,2022-09-22 17:30:17,1003.67,0,31.14,0,19.11,0,3.3,0,7.0,0,48.67,0,-0.40216884,0,-3.2754023,0,,6.3,0,29.669506,-95.06013,105.8
2022-09-22 17:30:18,2022-09-22,2022-09-22 17:30:18,1002.96,0,31.12,0,19.14,0,3.2,0,6.0,0,48.84,0,-0.3344911,0,-3.18247,0,,6.3,0,29.669477,-95.06013,112.1
2022-09-22 17:30:19,2022-09-22,2022-09-22 17:30:19,1002.25,0,31.11,0,19.17,0,3.2,0,5.0,0,48.96,0,-0.27889836,0,-3.187823,0,,6.3,0,29.669449,-95.06013,118.4
2022-09-22 17:30:20,2022-09-22,2022-09-22 17:30:20,1001.56,0,31.01,0,19.1,0,3.1,0,4.0,0,49.03,0,-0.21624506,0,-3.0924485,0,,6.2,0,29.66942,-95.06013,124.7
2022-09-22 17:30:21,2022-09-22,2022-09-22 17:30:21,1000.88,0,30.9,0,19.03,0,3.0,0,3.0,0,49.12,0,-0.15700787,0,-2.9958887,0,,6.1,0,29.669394,-95.06013,130.8
2022-09-22 17:30:22,2022-09-22,2022-09-22 17:30:22,1000.22,0,30.85,0,19.04,0,2.9,0,3.0,0,49.3,0,-0.15177429,0,-2.8960257,0,,5.9,0,29.669367,-95.06013,136.7
2022-09-22 17:30:23,2022-09-22,2022-09-22 17:30:23,999.57,0,30.83,0,19.08,0,2.8,0,2.0,0,49.47,0,-0.09771859,0,-2.7982943,0,,5.8,0,29.669342,-95.06013,142.6
2022-09-22 17:30:24,2022-09-22,2022-09-22 17:30:24,998.92,0,30.8,0,19.11,0,2.8,0,1.0,0,49.65,0,-0.048866738,0,-2.7995734,0,,5.8,0,29.669317,-95.06013,148.4
2022-09-22 17:30:25,2022-09-22,2022-09-22 17:30:25,998.26,0,30.72,0,19.14,0,2.7,0,0.0,0,49.97,0,-0.0,0,-2.7,0,,5.9,0,29.669292,-95.06013,154.3
2022-09-22 17:30:26,2022-09-22,2022-09-22 17:30:26,997.59,0,30.59,0,19.18,0,2.7,0,359.0,0,50.45,0,0.047122046,0,-2.6995888,0,,6.0,0,29.669268,-95.06013,160.3
2022-09-22 17:30:27,2022-09-22,2022-09-22 17:30:27,996.91,0,30.48,0,19.24,0,2.6,0,358.0,0,50.97,0,0.09073896,0,-2.598416,0,,6.1,0,29.669245,-95.06013,166.5
2022-09-22 17:30:28,2022-09-22,2022-09-22 17:30:28,996.22,0,30.41,0,19.26,0,2.6,0,358.0,0,51.24,0,0.09073896,0,-2.598416,0,,6.2,0,29.669222,-95.06013,172.7
