time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-09-11 05:30:00,2022-09-11,2022-09-11 05:30:00,1015.3,0,25.2,0,21.92,0,0.9,0,295.0,0,82.0,0,0.815677,0,-0.38035637,0,,0.0,0,29.67,-95.06,7.4
2022-09-11 05:30:01,2022-09-11,2022-09-11 05:30:01,1014.88,0,25.15,0,21.81,0,0.8,0,239.0,0,81.68,0,0.68573374,0,0.41203064,0,,4.8,0,29.67,-95.05999,11.0
2022-09-11 05:30:02,2022-09-11,2022-09-11 05:30:02,1014.07,0,25.79,0,21.78,0,1.0,0,218.0,0,78.45,0,0.6156614,0,0.78801084,0,,7.0,0,29.670006,-95.05998,18.1
2022-09-11 05:30:03,2022-09-11,2022-09-11 05:30:03,1013.35,0,26.31,0,21.83,0,1.2,0,212.0,0,76.32,0,0.6359032,0,1.0176578,0,,6.3,0,29.670013,-95.059975,24.4
2022-09-11 05:30:04,2022-09-11,2022-09-11 05:30:04,1013.0,0,26.46,0,21.63,0,1.4,0,211.0,0,74.73,0,0.7210532,0,1.2000343,0,,3.1,0,29.670023,-95.05997,27.4
2022-09-11 05:30:05,2022-09-11,2022-09-11 05:30:05,1012.3,0,26.47,0,21.42,0,1.5,0,211.0,0,73.72,0,0.77255696,0,1.285751,0,,6.1,0,29.670034,-95.05996,33.6
2022-09-11 05:30:06,2022-09-11,2022-09-11 05:30:06,1011.78,0,26.49,0,21.3,0,1.7,0,211.0,0,73.06,0,0.8755646,0,1.4571846,0,,4.5,0,29.670046,-95.05995,38.1
2022-09-11 05:30:07,2022-09-11,2022-09-11 05:30:07,1011.2,0,26.58,0,21.24,0,1.8,0,211.0,0,72.43,0,0.92706835,0,1.5429012,0,,5.1,0,29.67006,-95.059944,43.1
2022-09-11 05:30:08,2022-09-11,2022-09-11 05:30:08,1010.62,0,26.68,0,21.19,0,2.0,0,210.0,0,71.81,0,0.99999994,0,1.7320508,0,,5.1,0,29.670074,-95.05994,48.2
2022-09-11 05:30:09,2022-09-11,2022-09-11 05:30:09,1010.04,0,26.75,0,21.16,0,2.1,0,209.0,0,71.39,0,1.0181003,0,1.8367013,0,,5.1,0,29.67009,-95.05993,53.4
