time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-09-12 11:29:00,2022-09-12,2022-09-12 11:29:00,1015.8,0,23.5,0,20.65,0,1.9,0,10.0,0,84.0,0,-0.32993153,0,-1.8711348,0,,0.0,0,29.67,-95.06,7.4
2022-09-12 11:29:02,2022-09-12,2022-09-12 11:29:02,1015.06,0,23.66,0,20.62,0,2.0,0,17.0,0,83.02,0,-0.5847434,0,-1.9126096,0,,2.8,0,29.669966,-95.060005,13.8
2022-09-12 11:29:03,2022-09-12,2022-09-12 11:29:03,1014.4,0,23.81,0,20.55,0,2.2,0,18.0,0,81.95,0,-0.6798374,0,-2.0923243,0,,5.7,0,29.669949,-95.06001,19.4
2022-09-12 11:29:04,2022-09-12,2022-09-12 11:29:04,1013.45,0,23.78,0,20.34,0,2.3,0,18.0,0,81.01,0,-0.7107391,0,-2.18743,0,,8.2,0,29.66993,-95.06002,27.7
2022-09-12 11:29:05,2022-09-12,2022-09-12 11:29:05,1012.91,0,23.75,0,20.15,0,2.5,0,18.0,0,80.24,0,-0.77254254,0,-2.3776412,0,,4.7,0,29.669909,-95.06003,32.3
2022-09-12 11:29:06,2022-09-12,2022-09-12 11:29:06,1012.3,0,23.8,0,20.08,0,2.6,0,19.0,0,79.59,0,-0.84647715,0,-2.4583483,0,,5.3,0,29.669888,-95.060036,37.6
2022-09-12 11:29:07,2022-09-12,2022-09-12 11:29:07,1011.62,0,23.84,0,20.04,0,2.8,0,19.0,0,79.24,0,-0.9115908,0,-2.6474519,0,,5.9,0,29.669865,-95.06004,43.5
2022-09-12 11:29:08,2022-09-12,2022-09-12 11:29:08,1010.93,0,23.79,0,19.99,0,2.9,0,20.0,0,79.23,0,-0.9918584,0,-2.7251086,0,,6.0,0,29.66984,-95.06005,49.5
2022-09-12 11:29:09,2022-09-12,2022-09-12 11:29:09,1010.23,0,23.72,0,19.96,0,3.1,0,20.0,0,79.4,0,-1.0602624,0,-2.913047,0,,6.0,0,29.669815,-95.06006,55.6
2022-09-12 11:29:10,2022-09-12,2022-09-12 11:29:10,1009.54,0,23.66,0,19.95,0,3.2,0,21.0,0,79.64,0,-1.1467775,0,-2.9874575,0,,6.0,0,29.669788,-95.06007,61.6
