time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-09-16 11:30:00,2022-09-16,2022-09-16 11:30:00,1015.1,0,24.9,0,24.05,0,1.9,0,109.0,0,95.0,0,-1.7964853,0,0.6185794,0,,0.0,0,29.67,-95.06,7.4
2022-09-16 11:30:01,2022-09-16,2022-09-16 11:30:01,1014.36,0,25.22,0,23.89,0,1.4,0,126.0,0,92.29,0,-1.1326238,0,0.8228993,0,,5.9,8,29.670006,-95.06001,13.8
2022-09-16 11:30:02,2022-09-16,2022-09-16 11:30:02,1013.77,0,25.24,0,23.78,0,1.5,0,130.0,0,91.58,0,-1.1490667,0,0.9641814,0,,5.1,0,29.670013,-95.06003,18.9
2022-09-16 11:30:03,2022-09-16,2022-09-16 11:30:03,1013.0,0,25.38,0,23.74,0,1.6,0,131.0,0,90.63,0,-1.2075354,0,1.0496944,0,,6.7,0,29.670023,-95.06004,25.7
2022-09-16 11:30:04,2022-09-16,2022-09-16 11:30:04,1012.58,0,25.47,0,23.65,0,1.8,0,130.0,0,89.62,0,-1.3788799,0,1.1570177,0,,3.6,0,29.670033,-95.06006,29.3
2022-09-16 11:30:05,2022-09-16,2022-09-16 11:30:05,1012.06,0,25.48,0,23.53,0,2.0,0,129.0,0,88.94,0,-1.5542921,0,1.2586406,0,,4.6,0,29.670044,-95.060074,33.9
2022-09-16 11:30:06,2022-09-16,2022-09-16 11:30:06,1011.33,0,25.52,0,23.5,0,2.2,0,128.0,0,88.53,0,-1.7336237,0,1.3544552,0,,6.4,0,29.670055,-95.06009,40.3
2022-09-16 11:30:07,2022-09-16,2022-09-16 11:30:07,1010.73,0,25.53,0,23.46,0,2.4,0,127.0,0,88.32,0,-1.9167252,0,1.4443563,0,,5.2,0,29.670069,-95.060104,45.5
2022-09-16 11:30:08,2022-09-16,2022-09-16 11:30:08,1010.14,0,25.5,0,23.43,0,2.6,0,126.0,0,88.33,0,-2.103444,0,1.5282415,0,,5.1,0,29.670082,-95.06013,50.6
2022-09-16 11:30:09,2022-09-16,2022-09-16 11:30:09,1009.57,0,25.48,0,23.43,0,2.8,0,125.0,0,88.43,0,-2.2936256,0,1.6060141,0,,5.0,0,29.670095,-95.06015,55.6
2022-09-16 11:30:10,2022-09-16,2022-09-16 11:30:10,1009.02,0,25.43,0,23.4,0,3.0,0,125.0,0,88.5,0,-2.457456,0,1.7207294,0,,4.8,0,29.67011,-95.06017,60.4
2022-09-16 11:30:11,2022-09-16,2022-09-16 11:30:11,1008.5,0,25.4,0,23.38,0,3.3,0,124.0,0,88.6,0,-2.735824,0,1.8453363,0,,4.6,0,29.670126,-95.0602,65.0
2022-09-16 11:30:12,2022-09-16,2022-09-16 11:30:12,1007.99,0,25.36,0,23.36,0,3.5,0,123.0,0,88.64,0,-2.935347,0,1.9062366,0,,4.4,0,29.670143,-95.060234,69.5
2022-09-16 11:30:13,2022-09-16,2022-09-16 11:30:13,1007.5,0,25.34,0,23.35,0,3.7,0,122.0,0,88.74,0,-3.1377778,0,1.9607016,0,,4.3,0,29.67016,-95.060265,73.8
2022-09-16 11:30:14,2022-09-16,2022-09-16 11:30:14,1007.01,0,25.32,0,23.34,0,3.9,0,121.0,0,88.8,0,-3.3429527,0,2.0086484,0,,4.3,0,29.670177,-95.060295,78.1
2022-09-16 11:30:15,2022-09-16,2022-09-16 11:30:15,1006.52,0,25.29,0,23.33,0,4.2,0,120.0,0,88.85,0,-3.6373065,0,2.1000001,0,,4.3,0,29.670197,-95.06033,82.4
2022-09-16 11:30:16,2022-09-16,2022-09-16 11:30:16,1006.02,0,25.28,0,23.34,0,4.4,0,119.0,0,89.01,0,-3.848327,0,2.133162,0,,4.4,0,29.670216,-95.06037,86.7
2022-09-16 11:30:17,2022-09-16,2022-09-16 11:30:17,1005.51,0,25.25,0,23.35,0,4.6,0,118.0,0,89.22,0,-4.0615587,0,2.1595693,0,,4.5,0,29.670235,-95.06041,91.2
